Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-503;9728137737;Picasso e o mosqueteiro, 1967-1972;;Picasso, Pablo;Instituto Português de Museus;Instituto Português de Museus;1997;;;116;;Disponível;;;
150-504;9788461137558;Picasso, la multiplicidad del vértice;;Picasso, Pablo;MEIAC;MEIAC;2006;;;173;;Disponível;;;
150-505;9788437615189;Picasso, Madrid y el 98;;Herrera Navarro, Javier;Catedra;Catedra;1997;;;303;;Disponível;;;https://covers.openlibrary.org/b/id/4908832-L.jpg
150-506;5730000766;Picasso;;S. Podoksik, A.;Art Publishers, Aurora;Aurora Art Publishers;1989;;;181;;Disponível;;;
150-507;9781572153738;Picasso;;Langley Sommer, Robin;Press, JG;JG Press;2003;;;112;;Disponível;;;https://covers.openlibrary.org/b/id/9251752-L.jpg
150-508;9782080136466;Picasso and photography;;Baldassari, Anne;Flammarion;Flammarion;1997;;;263;;Disponível;;;https://covers.openlibrary.org/b/id/970708-L.jpg
150-509;3894661747;Picasso, a contemporary dialogue.;;;;Edition Braus;1996;;;160;;Disponível;;;
150-510;2711802647;Musee Picasso;;Musee Picasso (Paris, France);Ministere de la culture, Editions de la Reunion des musees nationaux;Ministere de la culture, Editions de la Reunion des musees nationaux;1985;;;315;;Disponível;;;https://covers.openlibrary.org/b/id/14311698-L.jpg
150-511;0870705288;Pablo Picasso;;S. Lieberman, William;Museum of Modern Art;Museum of Modern Art;1980;;;463;;Disponível;;;https://covers.openlibrary.org/b/id/15206451-L.jpg
150-512;9783829056878;Piero della Francesca (Grandes Maestros del Arte Italiano);;Laskowski, Birgit;Konemann;Konemann;1998;;;140;;Disponível;;;
150-513;9780300057034;Piero della Francesca;;Bertelli, Carlo;University Press, Yale;Yale University Press;1992;;;240;;Disponível;;;https://covers.openlibrary.org/b/id/159884-L.jpg
150-514;9780472113019;The Culture of San Sepolcro during the Youth of Piero della Francesca;;R. Banker, James;of Michigan Press, University;University of Michigan Press;2003;;;288;;Disponível;;;https://covers.openlibrary.org/b/id/1254396-L.jpg
150-515;9783822893777;Pierre et Gilles.;;Pierre.;Momus;Benedikt Taschen;1993;;;80;;Disponível;;;https://covers.openlibrary.org/b/id/11695102-L.jpg
150-516;9789075380033;Pieter Laurens Mol;;Laurens Mol, Pieter;Artimo;Artimo;1996;;;324;;Disponível;;;
150-517;9788434310056;Pollock;;Pollock, Jackson;poligrafa;poligrafa;2003;;;;;Disponível;;;
150-518;9781854372895;Interpreting Pollock;;Lewison, Jeremy;Tate;Tate;1999;;;80;;Disponível;;;https://covers.openlibrary.org/b/id/904789-L.jpg
150-519;0947564268;Jackson Pollock;;Jackson Pollock;Anthony d'Offay Gallery;Anthony d'Offay Gallery;1989;;;61;;Disponível;;;
150-520;9788493423476;Prudencio Irazabal;;Arning, Bill;ARTIUM;ARTIUM;2005;;;97;;Disponível;;;
150-521;9780300060140;Pugin;;Welby Northmore Pugin, Augustus;Yale University Press in association with the Victoria & Albert Museum;Yale University Press in association with the Victoria & Albert Museum;1994;;;310;;Disponível;;;https://covers.openlibrary.org/b/id/5001305-L.jpg
150-522;9789727391394;Raoul De Keyser;;Museu Serralves;Museu de Arte Contemporânea de Serralves;Museu de Arte Contemporânea de Serralves;2005;;;154;;Disponível;;;https://covers.openlibrary.org/b/id/13463994-L.jpg
150-523;9781930743663;Rauschenberg;;Rauschenberg, Robert;PaceWildenstein;PaceWildenstein;2006;;;;;Disponível;;;
