Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-1339;9788495216748;Jeff Koons: Retrospectiva;;Koons, Jeff;;Fundación del Museo Guggenheim Bilbao;2015;História de Arte;Espanhol;304;;Disponível;;;
150-1340;9529531494;Jiří Kolář 1914-2002;;Řehoř, Petr;;Amos Andersonin Taidemuseo;2003;História de Arte;Finlandês;160;;Disponível;;;
150-1341;9789899552067;Joana Vasconcelos;;Vasconcelos, Joana;Cunha e Silva, Paulo;Editoria Bial;2009;História de Arte;Português;285;;Disponível;;;
150-1342;9727390749;Joana Vasconcelos: Ponto de Encontro / Meeting Point;;Fernandes, João;;Museu de Arte Contemporânea de Serralves;2000;História de Arte;Português;;;Disponível;;;
150-1343;9789728560201;João Penalva: R.;;Lapa, Pedro;;Instituto das Artes;2001;História de Arte;Português;104;;Disponível;;;
150-1344;954289277;Jonathan Lasker: Coloured Scribbles;;Jonathan Lasker;Schwabsky, Barry;Timothy Taylor Gallery;2004;História de Arte;Inglês;31;;Disponível;;;
150-1345;9782917515099;Jonathan Meese: St Neutralité;;Templon, Daniel;Disderot, Victoire;Galerie Daniel Templon;2011;História de Arte;Francês;;;Disponível;;;
150-1346;9780955840906;John Latham: The Spray Gun and the Cosmos;;Walker, A. John;;Delaye Saltoun;2008;História de Arte;Inglês;39;;Disponível;;;
150-1347;8486147859;José de Guimarães;;Giralt-Miracle, Daniel;;Àmbit Serveis Editorials;1988;História de Arte;Espanhol;26;;Disponível;;;
150-1348;9723605406;Adamastor, Nomen Gigantis;;Graça Moura, Vasco;;Edições Afrontamento;1999;História de Arte;Português;72;;Disponível;;;
150-1349;9789898980243;José de Lemos;;Silva, Jorge;;Abysmo;2022;História de Arte;Português;240;;Disponível;;;
150-1350;8472329046;José Guerrero: El Cedar Café;;Guerrero, José;;Dirección General de Relaciones Culturales;1983;História de Arte;Espanhol;146;;Disponível;;;
150-1351;3926318201;Josef Wittlich: 16.2.1903 - 21.9.1982;;Zander, Charlotte;;Wachter-Verlag;1996;História de Arte;Alemão;112;;Disponível;;;
150-1352;9723709066;Pomar - Autobiografia;;Pomar, Júlio;;Sintra Museu de Arte Moderna;2004;História de Arte;Português;;;Disponível;;;
150-1353;9722021273;Então e a Pintura?;;Pomar, Júlio;;Publicações Dom Quixote;2002;História de Arte;Português;180;;Disponível;;;
150-1354;9789729089510;Júlio Pomar: Imagem, Discurso, Memória;;Castro, Laura;;Cooperativa Árvore;2003;História de Arte;Português;;;Disponível;;;
150-1355;9788448247027;Júlio Quaresma: Homem.com-se;;Quaresma, Júlio;;Generalitat Valenciana;2007;História de Arte;Espanhol;;;Disponível;;;
150-1356;9789722026024;40 Anos de Obra: Justino Alves;;;;Publicações Dom Quixote;2003;História de Arte;Português;232;;Disponível;;;
150-1357;9724409996;O Futuro da Pintura;;Kandinsky, Wassily;;Edições 70;1998;História de Arte;Português;112;;Disponível;;;
150-1358;9783822804933;Kandinsky, 1866-1944: A Revolution In Painting;;Düchting, Hajo;;Taschen;1993;História de Arte;Português;96;;Disponível;;;
150-1359;1901993647;Karel Nel: The Brilliance of Darkness;;Nel, Karel;;Art First;2008;História de Arte;Inglês;;;Disponível;;;
150-1360;3870010363;Karin Kneffel;;Kneffel, Karin;;R. van Acken Verlag;1994;História de Arte;Alemão;48;;Disponível;;;
150-1361;9780989290944;Kazuo Shiraga;;Tomii, Reiko;Tiampo, Ming;Mnuchin Gallery;2014;História de Arte;Inglês;103;;Disponível;;;
150-1362;9783980060592;Meisterblätter aus dem 20. Jahrhundert;;Nelson, Kenton;;Edição Independente;1995;História de Arte;Alemão;;;Disponível;;;
150-1363;9780955836718;The Elegant Life of Key Hiraga;;Hiraga, Key;Klompmakers, Inge;The Mayor Gallery;2008;História de Arte;Inglês;31;;Disponível;;;
150-1364;3000022368;Klaus Liebig: Leben und Werk;;Zweite, Armin;Kücker, Wilhelm;Edition Werkraum;1997;História de Arte;Alemão;272;;Disponível;;;
150-1365;9783822804940;Gustav Klimt, 1862-1918;;Fliedl, Gottfried;;Taschen;1992;História de Arte;Português;239;;Disponível;;;
150-1366;9783000248429;Koren Van Den Broek: Out of Space;;Van Den Broek, Koren;;Figge von Rosen Gallery;2008;História de Arte;Inglês;;;Disponível;;;
150-1367;2876890062;René Lalique;;Bayer, Patricia;Waller, Mark;Florilège;1988;História de Arte;Francês;192;;Disponível;;;
150-1368;3909439012;Roy Lichtenstein: Brushstrokes - Four Decades;;Hickey, David;;De Pury & Luxembourg;2002;História de Arte;Inglês;85;;Disponível;;;
150-1369;9789727391844;Lúcia Nogueira;;Fernandes, João;;Fundação de Serralves;2007;História de Arte;Português;232;;Disponível;;;
150-1370;9783865020789;Ludwig Richter;;Neidhardt, Hans Joachim;;E.A. Seemann Verlag;2003;História de Arte;Alemão;;;Disponível;;;
150-1371;9789728855185;Relações Infectadas / Infected Relationships;;Macieira, Luís;;Livros Horizonte;2005;História de Arte;Português;205;;Disponível;;;
150-1372;9780955836725;Luis Tomasello;;Tomasello, Luis;Popper, Frank;The Mayor Gallery;2010;História de Arte;Inglês;;;Disponível;;;
150-1373;9781885013781;Markus Lüpertz: Pastoral Thoughts;;Lüpertz, Markus;Ténèze, Annabelle;Michael Werner Gallery;2010;História de Arte;Inglês;54;;Disponível;;;
150-1374;9789461300256;René Magritte: Van A tot Z;;Grunenberg, Christopher;Pih, Darren;Ludion;2011;História de Arte;Holandês;208;;Disponível;;;
150-1375;9789722017978;A Árvore das Palavras;;Gersão, Teolinda;;Publicações Dom Quixote;2000;Literatura;Português;242;;Disponível;;;
150-1376;9724215288;José Malhoa;;Saldanha, Nuno;;Círculo de Leitores;1997;História de Arte;Português;173;;Disponível;;;
150-1377;897972732;Julio Larraz: Recent Paintings;;Julio Larraz;Sullivan, Edward J.;Marlborough Chelsea;2004;História de Arte;Inglês;39;;Disponível;;;
150-1378;972990930X;Manuel Caeiro: Dream Houses;;Caeiro, Manuel;Amado, Miguel;Galeria Carlos Carvalho;2004;História de Arte;Português;;;Disponível;;;
150-1379;9789899607118;Sinergias do Corpo e da Alma;;Ferreira, José-Luís;;Oro Faber - Chancela Real;2009;História de Arte;Português;;;Disponível;;;
150-1380;9725661931;Malangatana: de Matalana a Matalana;;Maia, Maria Armandina;;Instituto Camões;1999;História de Arte;Português;113;;Disponível;;;
150-1381;8482230549;Manet: 1832-1883;;López Blázquez, Manuel;;Globus Comunicación;1994;História de Arte;Português;63;;Disponível;;;
150-1382;9789899903616;Confidencial/Desclassificado: Missa Campal;;Botelho, Manuel;;Câmara Municipal de Vila Nova da Barquinha;2014;História de Arte;Português;;;Disponível;;;
150-1383;9789898487049;Manuel Botelho: Confidencial - Desclassificado;;Botelho, Manuel;;Fundação PLMJ;2012;História de Arte;Português;59;;Disponível;;;
150-1384;9789899588783;Manuel Casal Aguiar;;Casal Aguiar, Manuel;;Fundação Museu do Douro;2009;História de Arte;Português;56;;Disponível;;;
150-1385;9728392524;Maria Beatriz: Exposição Antológica 1973-1998;;Beatriz, Maria;;Casa da Cerca;1998;História de Arte;Português;130;;Disponível;;;
150-1386;9782351450840;Maria Loura Estevão;;Toussaint, Évelyne;Giquel, Pierre;Le Parvis;2008;História de Arte;Francês;;;Disponível;;;
150-1387;9783980060578;Marianna Gartner;;Brehm, Margrit;;Galerie Haas & Fuchs;2007;História de Arte;Alemão;32;;Disponível;;;
150-1388;9789729463358;Olhar Oculto, Mirar Oculto;;Ferraz, Mário;;Centro Lusitano de Unificação Cultural;1994;História de Arte;Português;;;Disponível;;;
150-1389;9789723710670;Desenhos / Drawings 2004-2005;;Pires Cordeiro, Mário;;Assírio & Alvim;2006;História de Arte;Português;96;;Disponível;;;
150-1390;9729546215;Mário Rita: Trabalhos sobre Papel;;Rita, Mário;;Edição Independente;1993;História de Arte;Português;;;Disponível;;;
150-1391;9789892014289;Mário Silva: 1/2 Século Obra & Vida;;Silva, Mário;;Chancela Real;2008;História de Arte;Português;;;Disponível;;;
150-1392;1932598081;Mark Tansey;;Mönig, Roland;;Gagosian Gallery;2005;História de Arte;Inglês;55;;Disponível;;;
150-1393;3763012494;Der Isenheimer Altar von Mathis Grünewald;;Seidel, Max;Geissler, Heinrich;Belser Verlag;1990;História de Arte;Alemão;;;Disponível;;;
150-1394;9789723309690;Matisse;;Durozoi, Gérard;;Editorial Estampa;1999;História de Arte;Português;144;;Disponível;;;
150-1395;9783822804872;Henri Matisse, 1869-1954: Mestre da Cor;;Essers, Volkmar;;Taschen;1993;História de Arte;Português;95;;Disponível;;;
150-1396;8890098023;Matta nell'auditorium;;Ferrari Matta, G.;;Fondazione Musica per Roma;2002;História de Arte;Italiano;64;;Disponível;;;
150-1397;9728467052;Max Ernst: Esculturas / Sculptures;;Ernst, Max;;Centro Cultural de Belém;1998;História de Arte;Português;;;Disponível;;;
150-1398;377014838x;Max Ernst: Die Retrospektive;;Spies, Werner;Kaak, Joachim;DuMont Literatur und Kunst Verlag;1999;História de Arte;Alemão;288;;Disponível;;;
150-1399;9783906053080;Max Ernst: Retrospective;;Drost, Julia;Spies, Werner;Hatje Cantz;2013;História de Arte;Inglês;352;;Disponível;;;
150-1400;3775703780;Max Ernst: Prints and Books - The Lufthansa Collection;;Wurster, Ruth;Spies, Werner;Verlag Gerd Hatje;1991;História de Arte;Inglês;280;;Disponível;;;
150-1401;9788410278554;Rodoreda, un bosque;;Palà Selva, Marina;Penalba, Neus;CCCB;2025;História de Arte;Espanhol;200;;Disponível;;;
150-1402;9729742855;Um Olhar sobre a Colecção Berardo;;;;Sintra Museu de Arte Moderna;2000;História de Arte;Português;;;Disponível;;;
150-1403;9781906412531;Michael Kidner: Dreams of the World Order;;Kidner, Michael;;Flowers Gallery;2009;História de Arte;Inglês;;;Disponível;;;
150-1404;9789023007838;Michelangelo & de schepping van de Sixtijnse kapel;;Richmond, Robin;;Gottmer Uitgevers Groep;1992;História de Arte;Holandês;160;;Disponível;;;
150-1405;9727761240;Miguel Ângelo Lupi, 1826-1883;;Ginga Tchen, Adelaide;;Instituto Português de Museus;2002;História de Arte;Português;247;;Disponível;;;
150-1406;9789728679187;Duplo Double: Miguel Ângelo Rocha;;Rocha, Miguel Ângelo;;CAPC - Círculo de Artes Plásticas de Coimbra;2001;História de Arte;Português;208;;Disponível;;;
150-1407;9789723711509;Quatro Ímpares / Four Odd Numbers;;Rocha, Miguel Ângelo;;Assírio & Alvim;2006;História de Arte;Português;96;;Disponível;;;
150-1408;9727003680;Acrílicos Sobre Papel;;Barbosa, Miguel;;Universitária Editora;2001;História de Arte;Português;290;;;;;
150-1409;8496008347;Miguel Rodríguez-Acosta;;Bonet, Juan Manuel;Santos, María Dolores;SEACEX;2003;História de Arte;Espanhol;129;;;;;
150-1410;954998251;Mimmo Paladino: Black and White;;Mimmo Paladino;Rosenthal, Norman;Waddington Galleries;2006;História de Arte;Inglês;60;;;;;
150-1411;1904621252;Joan Miró: Sculpture and Drawings;;Miró, Joan;;Annely Juda Fine Art;2008;História de Arte;Inglês;48;;Disponível;;;
150-1412;9061533333;Vrouwen die lezen zijn vrij;;Bollmann, Stefan;;Mercatorfonds;2011;História de Arte;Holandês;160;;;;;
150-1413;9789723308907;Monet;;Crespelle, Jean-Paul;;Editorial Estampa;1999;História de Arte;Português;144;;;;;
150-1414;088363385x;Monet: A Retrospective;;Stuckey, Charles F.;;Hugh Lauter Levin Associates;1985;História de Arte;Inglês;387;;;;;
150-1415;9789727393091;Monir Shahroudy Farmanfarmaian: Possibilidade Infinita;;Farmanfarmaian, Monir Shahroudy;;Fundação de Serralves;2014;História de Arte;Português;200;;;;;
150-1416;9780989290937;Morris Louis: Veils;;Louis, Morris;;Mnuchin Gallery;2014;História de Arte;Inglês;96;;;;;
150-1417;8488406347;Muñoz Vera: Exposición Antológica;;Muñoz Vera, Guillermo;;Madrid Concejalía de Cultura;2000;História de Arte;Espanhol;441;;Disponível;;;
150-1418;9789729402999;As Artes: Erradas, Crenças e Falsas Críticas;;Afonso, Nadir;;Chaves Ferreira Publicações;2005;História de Arte;Português;136;;;;;
150-1419;9789729391545;Nadir Afonso: Futuro;;Afonso, Nadir;;Galeria Jornal de Notícias;2007;História de Arte;Português;;;Disponível;;;
150-1420;9789729335976;Nadir Afonso: Futuro;;Afonso, Nadir;;Galeria Diário de Notícias;2007;História de Arte;Português;;;;;;
150-1421;9789893571354;Nadir Afonso: A Geometria do Absoluto;;Afonso, Nadir;;Irmandade dos Clérigos;2025;História de Arte;Português;60;;;;;
150-1422;4062040492;Hiroshi Noda Art Book;;Noda, Hiroshi;;Kodansha;1988;História de Arte;Japonês;;;;;;
150-1423;9789724136776;Noronha da Costa Revisitado: 1965-1983;;Bénard da Costa, João;;Edições Asa;2003;História de Arte;Português;367;;Disponível;;;
150-1424;9782951442405;Philippe Pasqua;;Ribettes, Jean-Michel;Restany, Pierre;Galerie Lucien Durand-Le Gaillard;1999;História de Arte;Francês;;;Disponível;;;
150-1425;2855620562;Paul Rebeyrolle: Le Monétarisme;;Prat, Jean-Louis;;Galerie Jeanne-Bucher;1999;História de Arte;Francês;;;Disponível;;;
150-1426;2855620600;Paul Rebeyrolle: Peintures;;Rebeyrolle, Paul;;Galerie Jeanne Bucher;2001;História de Arte;Francês;;;Disponível;;;
150-1427;9780957189287;Paula Rego: The Boy who Loved the Sea;;Wiggins, Colin;;Jerwood Gallery;2014;História de Arte;Inglês;;;Disponível;;;
150-1428;9728971087;Ciclo da Vida da Virgem Maria: Capela do Palácio de Belém;;Rego, Paula;;Museu da Presidência da República;2006;História de Arte;Português;98;;;;;
150-1429;9789722510400;Ainda é Cedo para ser Tarde;;D'Eça Leal, Paulo-Guilherme;;Livraria Bertrand;1997;História de Arte;Português;;;;;;
150-1430;9789722408394;O Dilúvio de Quéops;;D'Eça Leal, Paulo Guilherme;;Livros Horizonte;1993;Literatura;Português;240;;;;;
150-1431;9789729841200;Paulo Ferreira e Seus Amigos;;de Lurdes, Maria;;Edição Independente;1999;História de Arte;Português;355;;Disponível;;;
150-1432;9783787318971;Logik der Transformation;;Thompson, Michael J.;;Felix Meiner Verlag;2008;História de Arte;Alemão;224;;;;;
150-1433;972990975X;Pedro Calapez: Esboços de Desenho;;Calapez, Pedro;;Galeria Carlos Carvalho Arte Contemporânea;2004;História de Arte;Português;;;;;;
150-1434;3000033904;Pedro Calapez: Studiolo;;Calapez, Pedro;Gibson, Michael;Interval-Raum für Kunst & Kultur;1998;História de Arte;Alemão;68;;;;;
150-1435;9789723707656;Pedro Casqueiro;;Melo, Alexandre;Pinharanda, João Lima;Assírio & Alvim;2002;História de Arte;Português;200;;Disponível;;;
150-1436;1885013280;Per Kirkeby: Masonite;;Kirkeby, Per;;Michael Werner Gallery;2001;História de Arte;Inglês;20;;;;;
150-1437;9789895389438;O Pão e a Culpa;;Péssimo, Alberto;Bismarck, Mário;Letras e Coisas;2023;História de Arte;Português;88;;;;;
150-1438;954812697;Peter Blake: 1-10;;Peter Blake;Biggs, Lewis;Waddington Galleries;2005;História de Arte;Inglês;56;;;;;
150-1439;1904621155;Peter Kalkhof: Centre to Periphery;;Suchin, Peter;Kalkhof, Peter;Annely Juda Fine Art;2007;História de Arte;Inglês;40;;;;;
150-1440;2912282063;Philippe Cognée;;Cognée, Philippe;;Galerie Alice Pauli;2001;História de Arte;Francês;48;;;;;
150-1441;;Peter Lanyon: At the Edge of Landscape;;Stephens, Chris;;21 Publishing;2000;História de Arte;Inglês;128;;Extraviado;ISBN incorreto removido (era 0952671182, pertence a outro livro) — confirmar ISBN correto;;
150-1442;9788857200293;Picasso Harlequin 1917-1937;;Bois, Yve-Alain;Miller, Charles F. B.;Skira;2008;História de Arte;Inglês;320;;Disponível;;;
150-1443;8439511566;La Obra Completa de Picasso Cubista;;Prat, Jaime;;Editorial Planeta;1993;História de Arte;Espanhol;112;;;;;
150-1444;8439511434;La Obra Completa de Picasso: Azul y Rosa;;;;Editorial Origen;1989;História de Arte;Espanhol;96;;;;;
150-1445;9788477829805;Picasso: De la Caricatura a las Metamorfosis de Estilo;;Boudaille, Georges;;Editorial Lunwerg;2003;História de Arte;Espanhol;160;;;;;
150-1446;9789727764341;Diogo de Contreiras;;Caetano, Joaquim Oliveira;;Museu Nacional de Arte Antiga;2012;História de Arte;Português;96;;Disponível;;;
150-1447;968011101;Pierre Lefebvre;;Pierre Lefebvre;"Lozon, Michelle; Dupal, Françoise";Galerie d'art Vincent;1995;História de Arte;Francês;32;;;;;
150-1448;9788884912404;Pollock's America: Jackson Pollock in Venice;;Rylands, Philip;Maroni Bigatti, Giorgio;Skira;2002;História de Arte;Inglês;252;;;;;
150-1449;9728695276;Miguel Petchkovsky: Digital_Identities (1993-2003);;Petchkovsky, Miguel;;Centro Cultural de Évora;2003;História de Arte;Português;51;;Disponível;;;
150-1450;9789899914148;Manuel d'Assumpção: A Outra Face da Lua;;d'Assumpção, Manuel;Pinharanda, João;Fundação Cupertino de Miranda;2015;História de Arte;Português;123;;;;;
150-1451;9789899588752;Manuel Casal Aguiar: Desenho e Pintura;;Casal Aguiar, Manuel;;Árvore - Cooperativa de Actividades Artísticas;2009;História de Arte;Português;64;;;;;
150-1452;9788448236823;Rafael Armengol: Sèrie Vents;;Armengol, Rafael;;Generalitat Valenciana;2004;História de Arte;Espanhol;114;;;;;
150-1453;9789728578039;René Bertholo: Esbocetais (capa mole);;Bertholo, René;Pinharanda, João;Fundação Carmona e Costa;1999;História de Arte;Português;;;Disponível;;;
150-1454;9789728578015;René Bertholo: Esbocetais (capa dura);;Bertholo, René;Pinharanda, João;Fundação Carmona e Costa;1999;História de Arte;Português;221;;Disponível;;;
150-1455;9783908247074;Robert Rauschenberg: Sculpture;;Rauschenberg, Robert;Perlein, Gilbert;Hatje Cantz;1999;História de Arte;Inglês;168;;;;;
150-1456;9066302992;Rembrandt en de Bijbel;;Hoekstra, Hidde;;Waanders Uitgevers;1991;História de Arte;Holandês;160;;;;;
150-1457;8439511507;La Obra Completa de Rembrandt 1606-1669;;;;Editorial Planeta;1993;História de Arte;Espanhol;94;;;;;
150-1458;9789722215909;Resende: Obra Praticamente Completa;;Resende, Júlio;Pernes, Fernando;Editorial Verbo;1993;História de Arte;Português;445;;;;;
150-1459;9789725302668;Lugar do Desenho: Júlio Resende;;Resende, Júlio;;Edições Afrontamento;2005;História de Arte;Português;312;;;;;
150-1460;9723308738;Rembrandt;;Kitson, Michael;;Editorial Estampa;1992;História de Arte;Português;143;;;;;
150-1461;9780897974028;Ricardo Maffei: Recent Paintings and Drawings;;Maffei, Ricardo;;Marlborough Gallery;2010;História de Arte;Inglês;32;;;;;
150-1462;9780692469224;Richard Diebenkorn: The Ocean Park Series;;Diebenkorn, Richard;;Van de Weghe Fine Art;2015;História de Arte;Inglês;;;Disponível;;;
150-1463;290722011X;Richard Serra;;Serra, Richard;Bois, Yve-Alain;Centre Georges Pompidou;1983;História de Arte;Francês;119;;;;;
150-1464;9789723712421;Desenhos / Drawings 2006-2007;;Sanches, Rui;;Assírio & Alvim;2007;História de Arte;Português;128;;;;;
150-1465;9780954495848;Roy Conn: Paintings 1958-2004;;Conn, Roy;Davies, Peter;Axiom Centre for the Arts;2004;História de Arte;Inglês;40;;;;;
150-1466;9788843533084;Alberto Burri;;Calvesi, Maurizio;;Electa;1990;História de Arte;Italiano;127;;;;;
150-1467;9780956516336;Gillian Ayres: Works on Paper 1990-2011;;Ayres, Gillian;Lambirth, Andrew;Alan Cristea Gallery;2011;História de Arte;Inglês;64;;;;;
150-1468;9789055444755;Richard Long: Here and Now and Then;;Long, Richard;;Uitgeverij Ludion;2003;História de Arte;Inglês;128;;;;;
150-1469;9789726107422;História da Arte Portuguesa;;Pereira, Paulo;;Editorial Estampa;2003;História de Arte;Português;182;;;;;
150-1470;9788493562014;Sean Scully: La Superficie Pintada;;Scully, Sean;Hegyi, Lorand;Galería Carles Taché;2007;História de Arte;Espanhol;76;;Disponível;;;
150-1471;9780615259062;Charles Arnoldi: Wood;;Arnoldi, Charles;Gehry, Frank;Portland Art Museum;2008;História de Arte;Inglês;104;;;;;
150-1472;9782080102461;Picasso: The Real Family Story;;Picasso, Marina;Baring, Louis;Flammarion;2001;História de Arte;Inglês;214;;;;;
150-1473;9727391451;Siza: Opere e Progetti;;Siza, Álvaro;Fernandes, João;Museu de Arte Contemporânea de Serralves;2005;História de Arte;Português;310;;;;;
150-1474;9789076704685;Luc Tuymans: The Arena;;Tuymans, Luc;Ammann, Jean-Christophe;Kunstverein Hannover;2003;História de Arte;Inglês;112;;;;;
150-1475;9789053494981;Sanguine/Bloedrood: Luc Tuymans on Baroque;;Tuymans, Luc;;Snoeck Publishers;2018;História de Arte;Inglês;216;;;;;
150-1476;9788496008243;José Manuel Broto;;Paparoni, Demetrio;;SEACEX;2003;História de Arte;Espanhol;116;;;;;
150-1477;9780692766576;Robert Motherwell: Early Collages;;Motherwell, Robert;;Bernard Jacobson Gallery;2016;História de Arte;Inglês;;;;;;
150-1478;9728760035;Michael Biberstein;;Biberstein, Michael;;Galeria Carlos Carvalho Arte Contemporânea;2003;História de Arte;Português;;;;;;
150-1479;9780998453934;Kenneth Noland: Circles;;Noland, Kenneth;Agee, William;Yares Art;2017;História de Arte;Inglês;72;;;;;
150-1480;9536043106;Edo Murtić: Retrospektiva 1953-1993;;Zidić, Igor;;Moderna Galerija;1993;História de Arte;Croata;184;;;;;
150-1481;;Callum Innes: From Memory;;Innes, Callum;Bradley, Fiona;Fruitmarket Gallery;2006;História de Arte;Inglês;144;;;ISBN incorreto removido (era 0954775287, pertence a outro livro) — confirmar ISBN correto;;
150-1482;9780989290951;Robert Ryman: Drawings;;Ryman, Robert;Storr, Robert;Mnuchin Gallery;2014;História de Arte;Inglês;88;;;;;
150-1483;8886995474;Sandro Chia: Titon e la Lince;;Bonito Oliva, Achille;;Edizioni l'Incontro;1998;História de Arte;Italiano;64;;Disponível;;;
150-1484;4946419748;Sunazawa Bikky Works;;Sakai, Tadayasu;;Yobisha;1989;História de Arte;Japonês;129;;Disponível;;;
150-1485;0965233200;Suzanne McClelland;;Pagel, David;Schwabsky, Barry;Paul Kasmin Gallery;1996;História de Arte;Inglês;;;Disponível;;;
150-1486;9748364976;Suzanne McClelland: New Works;;McClelland, Suzanne;;Loring Augustine Gallery;2000;História de Arte;Inglês;;;;;;
150-1487;9789723710380;Metamorfopsia, Dois Mil e Cinco;;Themlitz, Susanne S. D.;;Assírio & Alvim;2005;História de Arte;Português;80;;;;;
150-1488;9788486418274;Tim Behrens;;Cerveira Pinto, António;;Galería Juana de Aizpuru;1989;História de Arte;Espanhol;;;;;;
150-1489;9780955828584;Antoni Tàpies: New Work;;Rosenthal, Norman;Tàpies, Antoni;Waddington Galleries;2010;História de Arte;Inglês;48;;;;;
150-1490;9789727950317;A Prática da Arte;;Tàpies, Antoni;;Edições Cotovia;2002;História de Arte;Português;216;;;;;
150-1491;897972600;Theodore Manolides: Natures Mortes;;Theodore Manolides;Marlborough Monaco;Marlborough Monaco;2004;História de Arte;Francês;;;;;;
150-1492;090095583x;Slow Motion: Recent Paintings 1997-2000;;Oulton, Therese;;Marlborough Fine Art;2000;História de Arte;Inglês;48;;;;;
150-1493;090095566x;Wavelength: Recent Paintings 1995-97;;Oulton, Therese;;Marlborough Fine Art;1997;História de Arte;Inglês;;;Disponível;;;
150-1494;097442496x;Tom Wesselmann Draws;;Wesselmann, Tom;;L & M Arts;2006;Pintores;Inglês;;;Disponível;;;
150-1495;9781905620432;Tom Wesselmann Draws;;Wesselmann, Tom;;Haunch of Venison;2009;Pintores;Inglês;76;;Disponível;;;
150-1496;847232897x;Torner: La Condición Humana;;Torner, Gustavo;Borges, Jorge Luis;Galería Juana Mordó;1983;História de Arte;Espanhol;161;;;;;
150-1497;3822806013;J. M. W. Turner 1775-1851: De Wereld van Licht en Kleur;;Bockemühl, Michael;;Taschen;1991;História de Arte;Holandês;96;;;;;
150-1498;9783822805084;J. M. W. Turner 1775-1851: O Mundo da Luz e da Cor;;Bockemühl, Michael;;Taschen;1992;História de Arte;Português;96;;;;;
150-1499;9789726474265;De Natura Maris - Urbano;;Urbano;Mourão, João;Letras Lavadas Edições;2023;História de Arte;Português;176;;Disponível;;;
150-1500;9729876118;Caderno de Veneza;;Urbano;;Edição de Autor;2002;História de Arte;Português;;;;;;
150-1501;9783937295862;Uwe Lindau: The Gilded Edge;;Heil, Axel;Brehm, Margrit;Fluid Editions;2008;História de Arte;Inglês;;;;;;
150-1502;9789061528203;Naer Natueren Ghelike: Vlaamse Miniaturen voor Van Eyck;;Smeyers, Maurits;Cardon, B.;Davidsfonds;1993;História de Arte;Holandês;126;;;;;
150-1503;9789055443994;De Eeuw van Jan van Eyck;;Tissink, Fieke;;Uitgeverij Ludion;2002;História de Arte;Holandês;48;;;;;
150-1504;9789055443925;De Eeuw van Van Eyck 1430-1530: De Vlaamse Primitieven en het Zuiden;;Borchert, Till-Holger;Beyer, Andreas;Uitgeverij Ludion;2002;História de Arte;Holandês;280;;;;;
150-1505;9789729402876;Saudades de Lisboa: Aguarelas de Vasco D'Orey Bobone;;D'Orey Bobone, Vasco;;Chaves Ferreira Publicações;2003;História de Arte;Português;152;;;;;
150-1506;3930054299;Vicente Carducho en El Paular: El Gran Ciclo Cartujano;;Beutler, Werner;;Verlag Locher;1998;História de Arte;Espanhol;265;;;;;
150-1507;9780983083436;Andy Warhol: Flowers;;Warhol, Andy;Lobel, Michael;Eykyn Maclean Gallery;2012;História de Arte;Inglês;;;;;;
150-1508;3791330926;Andy Warhol: The Late Work;;Warhol, Andy;Martin, Jean H.;Prestel;2004;História de Arte;Inglês;420;;;;;
150-1509;9781932608182;Wayne Thiebaud: The Figure;;Thiebaud, Wayne;Tsujimoto, Karen;Allan Stone Gallery;2008;História de Arte;Inglês;48;;;;;
150-1510;8798539426;Wiig Hansen: Maleri - Papirarbejder - Skulptur;;Hansen, Wiig;;Galleri Profilen;1996;História de Arte;Dinamarquês;15;;;;;
150-1511;1904621066;Anthony Caro: Galvanised Steel Sculptures;;Caro, Anthony;;Annely Juda Fine Art;2004;História de Arte;Inglês;32;;;;;
150-1512;974424951;Yves Klein: A Career Survey;;Yves Klein;"Karmel, Pepe; Klein-Moquay, Rotraut";L & M Arts;2005;História de Arte;Inglês;;;;;;
150-1513;9788409157921;Zurbarán en los Archivos Extremeños;;Garrain Villa, Luis J.;;Diputación de Badajoz;2019;História de Arte;Espanhol;568;;;;;
150-1514;9789729001598;Tabaco: Uma Planta de Outro Mundo;;Rosa, Paulo;Correia, Fernando;João Azevedo Editor;2003;Pintores;Português;112;;;;;
150-1515;9789725643426;Tratado da Grandeza dos Jardins em Portugal;;Carita, Hélder;Homem Cardoso, António;Quetzal Editores;1998;Plantas & Jardins;Português;320;;;;;
150-1516;9782873861018;Les Serres Royales de Laeken;;Goedleven, Edgard;;Editions Racine;1997;Plantas & Jardins;Francês;175;;Disponível;;;
150-1517;9789625933368;Botanica: The Illustrated A-Z of Over 10,000 Garden Plants;;Turner, R.G.;;Periplus Editions;1998;Plantas & Jardins;Inglês;1020;;;;;
150-1518;9789896220655;Roseiras Antigas de Jardim;;Albuquerque, Miguel;;Alêtheia Editores;2006;Plantas & Jardins;Português;216;;;;;
150-1519;9789727970322;Jardins com História;;Castel-Branco, Cristina;;Edições Inapa;2002;Plantas & Jardins;Português;178;;Disponível;;;
150-1520;9788586714146;Árvores Brasileiras - Vol. 2;;Lorenzi, Harri;;Instituto Plantarum;2002;Plantas & Jardins;Português;368;;;;;
150-1521;9789897354922;As Plantas na Medicina Popular nos Açores;;Braga, Teófilo;;Letras Lavadas Edições;2023;Plantas & Jardins;Português;234;;;;;
